name,categorie,tier,score_excel,ats,slug,careers_url,statut
13Advisory,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
2CFinance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
2J Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
A Plus Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Access Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Acetis Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Acom Corporate Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Acquest,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Acta Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Acype Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Ader Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Advance Capital,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Advisio Corporate Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Aertus Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Aforge Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Agora Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Altrix Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Ama Partners,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Amala Partners,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Amkeo Corporate Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Apparius Corporate Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
ASTORIA FINANCE,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Atena Finances,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Atout Capital,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
ATRIUM Partners,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Aucteor Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Aurignac Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Axonia Partners,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Axys Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Blue Partners,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Blue Partners Finance,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
BM&A,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
Breakline Partners,Boutique Corporate Finance / M&A,cible,82.4,,,,a_enrichir
